L,C,D,H_max,,Policy,timeUsed
91,5,3,72,Bruteforce,5876
92,5,3,72,4,5301
92,5,3,72,Bruteforce,5921
93,5,3,72,4,5219
93,5,3,72,Bruteforce,5944
94,5,3,72,4,5316
94,5,3,72,Bruteforce,6054
95,5,3,72,4,5492
95,5,3,72,Bruteforce,6098
96,5,3,72,4,5670
96,5,3,72,Bruteforce,6196
97,5,3,72,4,5764
97,5,3,72,Bruteforce,6313
98,5,3,72,4,5653
98,5,3,72,Bruteforce,6349
99,5,3,72,4,5840
99,5,3,72,Bruteforce,6411
100,5,3,72,4,5835
100,5,3,72,Bruteforce,6517
101,5,3,72,4,5726
101,5,3,72,Bruteforce,6568
102,5,3,72,4,5995
102,5,3,72,Bruteforce,6537
103,5,3,72,4,5850
103,5,3,72,Bruteforce,6583
104,5,3,72,4,5842
104,5,3,72,Bruteforce,6608
105,5,3,72,4,5868
105,5,3,72,Bruteforce,6770
106,5,3,72,4,6147
106,5,3,72,Bruteforce,6807
107,5,3,72,4,6140
107,5,3,72,Bruteforce,6866
108,5,3,72,4,5798
108,5,3,72,Bruteforce,6918
109,5,3,72,4,6111
109,5,3,72,Bruteforce,7062
110,5,3,72,4,6234
110,5,3,72,Bruteforce,7132
111,5,3,72,4,6396
111,5,3,72,Bruteforce,7120
112,5,3,72,4,6363
112,5,3,72,Bruteforce,7221
113,5,3,72,4,6407
113,5,3,72,Bruteforce,7384
114,5,3,72,4,6246
114,5,3,72,Bruteforce,7271
115,5,3,72,4,6742
115,5,3,72,Bruteforce,7473
116,5,3,72,4,6690
116,5,3,72,Bruteforce,7537
117,5,3,72,4,6647
117,5,3,72,Bruteforce,7561
118,5,3,72,4,6924
118,5,3,72,Bruteforce,7655
119,5,3,72,4,6942
119,5,3,72,Bruteforce,7602
120,5,3,72,4,7235
120,5,3,72,Bruteforce,7799
121,5,3,72,4,6841
121,5,3,72,Bruteforce,7758
122,5,3,72,4,7190
122,5,3,72,Bruteforce,7945
123,5,3,72,4,6886
123,5,3,72,Bruteforce,7971
124,5,3,72,4,7235
124,5,3,72,Bruteforce,8001
125,5,3,72,4,7106
125,5,3,72,Bruteforce,8122
126,5,3,72,4,7065
126,5,3,72,Bruteforce,8059
127,5,3,72,4,7482
127,5,3,72,Bruteforce,8224
128,5,3,72,4,7235
128,5,3,72,Bruteforce,8199
129,5,3,72,4,7435
129,5,3,72,Bruteforce,8266
130,5,3,72,4,7584
130,5,3,72,Bruteforce,8439
131,5,3,72,4,7677
131,5,3,72,Bruteforce,8359
132,5,3,72,4,7354
132,5,3,72,Bruteforce,8507
133,5,3,72,4,7300
133,5,3,72,Bruteforce,8530
134,5,3,72,4,7925
134,5,3,72,Bruteforce,8686
135,5,3,72,4,8118
135,5,3,72,Bruteforce,8744
136,5,3,72,4,7754
136,5,3,72,Bruteforce,8674
137,5,3,72,4,8033
137,5,3,72,Bruteforce,8847
138,5,3,72,4,8096
138,5,3,72,Bruteforce,8935
139,5,3,72,4,8132
139,5,3,72,Bruteforce,8975
140,5,3,72,4,8062
140,5,3,72,Bruteforce,8968
141,5,3,72,4,7975
141,5,3,72,Bruteforce,9103
142,5,3,72,4,8343
142,5,3,72,Bruteforce,9144
143,5,3,72,4,8260
143,5,3,72,Bruteforce,9186
144,5,3,72,4,8737
144,5,3,72,Bruteforce,9450
145,5,3,72,4,8603
145,5,3,72,Bruteforce,9453
146,5,3,72,4,8281
146,5,3,72,Bruteforce,9324
147,5,3,72,4,8399
147,5,3,72,Bruteforce,9466
148,5,3,72,4,8571
148,5,3,72,Bruteforce,9438
149,5,3,72,4,8603
149,5,3,72,Bruteforce,9617
